title,total_gross,gross,return_rate,std_IMDB,std_Meta,rating,distributor,release_date,release_month,release_year,genre,mins,MPAA_rating,budget (millions),theatres,totalweek,IMDB_rating,director,stars,Metascore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(500)DAYSOFSUMMER,"32,391,374",29474720.47 ,4.04892175,1.518643368,1.101395561,2.620038929,FOX SEARCHLIGHT,2009/7/17,7,2009,Romance,95,PG-13,8,27,19,7.8,Marc Webb,"Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(UNTITLED),"230,600","209,836",#VALUE!,0.10351455,0.026174213,0.129688763,SAMUEL GOLDWYN,2009/10/23,10,2009,Comedy,96,R,N/A,3,7,6.3,Jonathan Parker,"Adam Goldberg,Marley Shelton,Eion Bailey",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[REC]2,"27,766","24,858",#VALUE!,#VALUE!,-0.332232902,#VALUE!,MAGNOLIA,2010/7/9,7,2010,Foreign / Horror,85,R,N/A,5,5,NA,NA,NA,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$999 ,"52,384","47,505",#VALUE!,0.480882235,0.623519406,1.104401641,REGENT RELEASING,2008/12/12,12,2008,Animation,78,R,N/A,1,17,6.7,Tatia Rosenthal,"Geoffrey Rush,Anthony LaPaglia,Samuel Johnson",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$UPERCAPITALIST,"15,919","13,535",#VALUE!,#VALUE!,#VALUE!,#VALUE!,TRULY INDIE,2012/8/10,8,2012,Thriller,96,Unrated,N/A,1,3,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10,000BC","94,784,201",85956190.70 ,0.902706676,-1.122930425,-1.40745425,-2.530384675,WARNER BROS.,2008/3/7,3,2008,Period Adventure,109,PG-13,105,3410,15,5,Roland Emmerich,"Camilla Belle,Steven Strait,Marco Khan",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100BLOODYACRES,"6,388","5,353",#VALUE!,-0.273853135,0.32484681,0.050993675,DOPPELGANGER RELEASING,2013/6/28,6,2013,Horror Comedy,#VALUE!,Unrated,N/A,13,4,5.9,"Cameron Cairnes,Colin Cairnes","Oliver Ackland,Paul Blackwell,Ward Everaardt",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10QUESTIONSFORTHEDALAILAMA,"224,546","211,472",#VALUE!,#VALUE!,#VALUE!,#VALUE!,"MONTEREY MEDIA, INC.",2007/4/27,4,2007,Documentary,89,Unrated,N/A,7,13,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10YEARS,"203,373","172,918",#VALUE!,-0.085169292,0.205377771,0.120208479,ANCHOR BAY FILMS,2012/9/14,9,2012,Comedy / Drama,100,PG-13,N/A,3,4,6.1,Jamie Linden,"Channing Tatum,Rosario Dawson,Chris Pratt",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11FLOWERS,"9,213","7,720",#VALUE!,#VALUE!,0.802722964,#VALUE!,FIRST RUN,2013/2/22,2,2013,Foreign,110,Unrated,N/A,2,5,NA,NA,NA,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
